FID,gid,speed_90
ReAtlas_us_windspeed_offshore.11028,11028,9.375
ReAtlas_us_windspeed_offshore.11029,11029,9.875
ReAtlas_us_windspeed_offshore.11369,11369,8.875
ReAtlas_us_windspeed_offshore.11006,11006,8.625
ReAtlas_us_windspeed_offshore.11007,11007,9.625
ReAtlas_us_windspeed_offshore.10985,10985,7.625
ReAtlas_us_windspeed_offshore.10986,10986,7.375
ReAtlas_us_windspeed_offshore.10988,10988,7.875
ReAtlas_us_windspeed_offshore.10989,10989,8.125
ReAtlas_us_windspeed_offshore.11239,11239,9.625
ReAtlas_us_windspeed_offshore.11041,11041,9.875
ReAtlas_us_windspeed_offshore.11043,11043,10.125
ReAtlas_us_windspeed_offshore.11045,11045,9.625
ReAtlas_us_windspeed_offshore.11052,11052,9.625
ReAtlas_us_windspeed_offshore.11094,11094,6.625
ReAtlas_us_windspeed_offshore.11095,11095,6.375
ReAtlas_us_windspeed_offshore.11096,11096,6.625
ReAtlas_us_windspeed_offshore.11097,11097,8.125
ReAtlas_us_windspeed_offshore.11062,11062,10.625
ReAtlas_us_windspeed_offshore.11063,11063,7.625
ReAtlas_us_windspeed_offshore.11066,11066,7.875
ReAtlas_us_windspeed_offshore.11070,11070,7.875
ReAtlas_us_windspeed_offshore.11078,11078,7.875
ReAtlas_us_windspeed_offshore.11088,11088,6.625
ReAtlas_us_windspeed_offshore.11089,11089,7.375
ReAtlas_us_windspeed_offshore.11090,11090,6.375
ReAtlas_us_windspeed_offshore.11083,11083,8.875
ReAtlas_us_windspeed_offshore.11085,11085,8.875
ReAtlas_us_windspeed_offshore.11086,11086,8.375
ReAtlas_us_windspeed_offshore.11098,11098,6.125
ReAtlas_us_windspeed_offshore.11100,11100,11.625
ReAtlas_us_windspeed_offshore.11103,11103,5.875
ReAtlas_us_windspeed_offshore.11292,11292,8.875
ReAtlas_us_windspeed_offshore.11106,11106,6.625
ReAtlas_us_windspeed_offshore.11107,11107,5.875
ReAtlas_us_windspeed_offshore.11109,11109,6.125
ReAtlas_us_windspeed_offshore.11110,11110,5.625
ReAtlas_us_windspeed_offshore.11112,11112,6.125
ReAtlas_us_windspeed_offshore.11116,11116,5.375
ReAtlas_us_windspeed_offshore.11120,11120,11.375
ReAtlas_us_windspeed_offshore.11122,11122,4.875
ReAtlas_us_windspeed_offshore.11123,11123,6.125
ReAtlas_us_windspeed_offshore.11127,11127,6.125
ReAtlas_us_windspeed_offshore.11130,11130,5.125
ReAtlas_us_windspeed_offshore.11131,11131,4.375
ReAtlas_us_windspeed_offshore.11132,11132,5.375
ReAtlas_us_windspeed_offshore.11138,11138,5.125
