FID,gid,class
ReAtlas_us_geothermal.806,806,2
ReAtlas_us_geothermal.810,810,2
ReAtlas_us_geothermal.814,814,2
ReAtlas_us_geothermal.816,816,1
ReAtlas_us_geothermal.815,815,2
ReAtlas_us_geothermal.819,819,2
ReAtlas_us_geothermal.558,558,2
ReAtlas_us_geothermal.552,552,2
ReAtlas_us_geothermal.554,554,3
ReAtlas_us_geothermal.820,820,2
ReAtlas_us_geothermal.821,821,2
ReAtlas_us_geothermal.822,822,2
ReAtlas_us_geothermal.825,825,2
ReAtlas_us_geothermal.831,831,3
ReAtlas_us_geothermal.832,832,1
ReAtlas_us_geothermal.826,826,2
ReAtlas_us_geothermal.827,827,2
ReAtlas_us_geothermal.828,828,1
ReAtlas_us_geothermal.837,837,2
ReAtlas_us_geothermal.833,833,2
ReAtlas_us_geothermal.794,794,2
ReAtlas_us_geothermal.583,583,2
ReAtlas_us_geothermal.834,834,2
ReAtlas_us_geothermal.843,843,2
ReAtlas_us_geothermal.836,836,2
ReAtlas_us_geothermal.839,839,2
ReAtlas_us_geothermal.840,840,2
ReAtlas_us_geothermal.842,842,3
ReAtlas_us_geothermal.795,795,2
ReAtlas_us_geothermal.845,845,2
ReAtlas_us_geothermal.846,846,2
ReAtlas_us_geothermal.851,851,2
ReAtlas_us_geothermal.847,847,3
ReAtlas_us_geothermal.848,848,2
ReAtlas_us_geothermal.849,849,2
ReAtlas_us_geothermal.546,546,5
ReAtlas_us_geothermal.852,852,2
ReAtlas_us_geothermal.799,799,1
ReAtlas_us_geothermal.800,800,3
ReAtlas_us_geothermal.801,801,2
ReAtlas_us_geothermal.528,528,1
ReAtlas_us_geothermal.541,541,2
ReAtlas_us_geothermal.129,129,5
ReAtlas_us_geothermal.539,539,2
ReAtlas_us_geothermal.543,543,2
ReAtlas_us_geothermal.545,545,2
ReAtlas_us_geothermal.566,566,2
ReAtlas_us_geothermal.568,568,2
ReAtlas_us_geothermal.569,569,2
ReAtlas_us_geothermal.570,570,2
ReAtlas_us_geothermal.572,572,2
ReAtlas_us_geothermal.785,785,2
ReAtlas_us_geothermal.574,574,2
ReAtlas_us_geothermal.575,575,2
ReAtlas_us_geothermal.580,580,2
ReAtlas_us_geothermal.587,587,2
ReAtlas_us_geothermal.591,591,2
ReAtlas_us_geothermal.604,604,2
ReAtlas_us_geothermal.788,788,2
ReAtlas_us_geothermal.796,796,2
ReAtlas_us_geothermal.789,789,2
ReAtlas_us_geothermal.469,469,2
ReAtlas_us_geothermal.480,480,3
ReAtlas_us_geothermal.798,798,1
ReAtlas_us_geothermal.250,250,2
ReAtlas_us_geothermal.805,805,1
ReAtlas_us_geothermal.808,808,2
ReAtlas_us_geothermal.361,361,2
ReAtlas_us_geothermal.383,383,2
ReAtlas_us_geothermal.389,389,2
ReAtlas_us_geothermal.395,395,2
ReAtlas_us_geothermal.256,256,5
ReAtlas_us_geothermal.873,873,3
ReAtlas_us_geothermal.397,397,1
ReAtlas_us_geothermal.430,430,2
ReAtlas_us_geothermal.877,877,3
ReAtlas_us_geothermal.880,880,3
ReAtlas_us_geothermal.403,403,2
ReAtlas_us_geothermal.444,444,2
ReAtlas_us_geothermal.864,864,3
ReAtlas_us_geothermal.411,411,1
ReAtlas_us_geothermal.412,412,2
ReAtlas_us_geothermal.413,413,3
ReAtlas_us_geothermal.420,420,2
ReAtlas_us_geothermal.422,422,2
ReAtlas_us_geothermal.424,424,1
ReAtlas_us_geothermal.429,429,2
ReAtlas_us_geothermal.441,441,2
ReAtlas_us_geothermal.434,434,2
ReAtlas_us_geothermal.452,452,2
ReAtlas_us_geothermal.435,435,3
ReAtlas_us_geothermal.436,436,2
ReAtlas_us_geothermal.515,515,2
ReAtlas_us_geothermal.495,495,3
ReAtlas_us_geothermal.298,298,3
ReAtlas_us_geothermal.313,313,3
ReAtlas_us_geothermal.319,319,5
ReAtlas_us_geothermal.325,325,2
ReAtlas_us_geothermal.337,337,2
ReAtlas_us_geothermal.336,336,5
ReAtlas_us_geothermal.342,342,3
ReAtlas_us_geothermal.107,107,2
ReAtlas_us_geothermal.359,359,5
ReAtlas_us_geothermal.374,374,4
ReAtlas_us_geothermal.363,363,4
ReAtlas_us_geothermal.366,366,5
ReAtlas_us_geothermal.393,393,3
ReAtlas_us_geothermal.402,402,4
ReAtlas_us_geothermal.244,244,2
ReAtlas_us_geothermal.264,264,1
ReAtlas_us_geothermal.869,869,3
ReAtlas_us_geothermal.382,382,5
ReAtlas_us_geothermal.557,557,4
ReAtlas_us_geothermal.27,27,5
ReAtlas_us_geothermal.31,31,2
ReAtlas_us_geothermal.32,32,3
ReAtlas_us_geothermal.920,920,2
ReAtlas_us_geothermal.263,263,5
ReAtlas_us_geothermal.243,243,2
ReAtlas_us_geothermal.246,246,2
ReAtlas_us_geothermal.237,237,2
ReAtlas_us_geothermal.220,220,2
ReAtlas_us_geothermal.208,208,2
ReAtlas_us_geothermal.228,228,2
ReAtlas_us_geothermal.882,882,4
ReAtlas_us_geothermal.229,229,3
ReAtlas_us_geothermal.212,212,2
ReAtlas_us_geothermal.183,183,1
ReAtlas_us_geothermal.199,199,1
ReAtlas_us_geothermal.887,887,3
ReAtlas_us_geothermal.193,193,1
ReAtlas_us_geothermal.190,190,1
ReAtlas_us_geothermal.218,218,2
ReAtlas_us_geothermal.871,871,2
ReAtlas_us_geothermal.179,179,2
ReAtlas_us_geothermal.173,173,2
ReAtlas_us_geothermal.241,241,4
ReAtlas_us_geothermal.204,204,2
ReAtlas_us_geothermal.17,17,5
ReAtlas_us_geothermal.217,217,3
ReAtlas_us_geothermal.191,191,1
ReAtlas_us_geothermal.5,5,2
ReAtlas_us_geothermal.6,6,2
ReAtlas_us_geothermal.7,7,2
ReAtlas_us_geothermal.8,8,2
ReAtlas_us_geothermal.9,9,2
ReAtlas_us_geothermal.404,404,5
ReAtlas_us_geothermal.672,672,5
ReAtlas_us_geothermal.698,698,5
ReAtlas_us_geothermal.113,113,5
ReAtlas_us_geothermal.853,853,5
ReAtlas_us_geothermal.879,879,5
ReAtlas_us_geothermal.857,857,5
ReAtlas_us_geothermal.888,888,5
ReAtlas_us_geothermal.958,958,5
ReAtlas_us_geothermal.891,891,5
ReAtlas_us_geothermal.874,874,3
ReAtlas_us_geothermal.876,876,3
ReAtlas_us_geothermal.884,884,3
ReAtlas_us_geothermal.892,892,4
ReAtlas_us_geothermal.893,893,5
ReAtlas_us_geothermal.894,894,4
ReAtlas_us_geothermal.899,899,5
ReAtlas_us_geothermal.697,697,3
ReAtlas_us_geothermal.712,712,3
ReAtlas_us_geothermal.933,933,4
ReAtlas_us_geothermal.760,760,5
ReAtlas_us_geothermal.773,773,3
ReAtlas_us_geothermal.775,775,3
ReAtlas_us_geothermal.494,494,3
ReAtlas_us_geothermal.824,824,5
ReAtlas_us_geothermal.841,841,4
ReAtlas_us_geothermal.540,540,5
ReAtlas_us_geothermal.532,532,5
ReAtlas_us_geothermal.470,470,5
ReAtlas_us_geothermal.533,533,5
ReAtlas_us_geothermal.544,544,5
ReAtlas_us_geothermal.547,547,3
ReAtlas_us_geothermal.396,396,5
ReAtlas_us_geothermal.551,551,5
ReAtlas_us_geothermal.593,593,4
ReAtlas_us_geothermal.927,927,5
