FID,gid,class
ReAtlas_us_geothermal.758,758,2
ReAtlas_us_geothermal.754,754,5
ReAtlas_us_geothermal.743,743,3
ReAtlas_us_geothermal.138,138,2
ReAtlas_us_geothermal.660,660,1
ReAtlas_us_geothermal.722,722,3
ReAtlas_us_geothermal.644,644,1
ReAtlas_us_geothermal.573,573,2
ReAtlas_us_geothermal.216,216,2
ReAtlas_us_geothermal.209,209,2
ReAtlas_us_geothermal.205,205,2
ReAtlas_us_geothermal.186,186,2
ReAtlas_us_geothermal.97,97,3
ReAtlas_us_geothermal.150,150,2
ReAtlas_us_geothermal.489,489,2
ReAtlas_us_geothermal.347,347,1
ReAtlas_us_geothermal.239,239,3
ReAtlas_us_geothermal.119,119,5
ReAtlas_us_geothermal.117,117,2
ReAtlas_us_geothermal.156,156,2
ReAtlas_us_geothermal.286,286,3
ReAtlas_us_geothermal.124,124,2
ReAtlas_us_geothermal.158,158,1
ReAtlas_us_geothermal.157,157,1
ReAtlas_us_geothermal.146,146,3
ReAtlas_us_geothermal.143,143,2
ReAtlas_us_geothermal.149,149,1
ReAtlas_us_geothermal.155,155,2
ReAtlas_us_geothermal.154,154,1
ReAtlas_us_geothermal.152,152,2
ReAtlas_us_geothermal.148,148,2
ReAtlas_us_geothermal.141,141,2
ReAtlas_us_geothermal.153,153,2
ReAtlas_us_geothermal.144,144,2
ReAtlas_us_geothermal.130,130,5
ReAtlas_us_geothermal.142,142,5
ReAtlas_us_geothermal.145,145,3
ReAtlas_us_geothermal.114,114,2
ReAtlas_us_geothermal.139,139,3
ReAtlas_us_geothermal.101,101,2
ReAtlas_us_geothermal.81,81,2
ReAtlas_us_geothermal.89,89,2
ReAtlas_us_geothermal.90,90,2
ReAtlas_us_geothermal.98,98,2
ReAtlas_us_geothermal.716,716,2
ReAtlas_us_geothermal.732,732,3
ReAtlas_us_geothermal.701,701,3
ReAtlas_us_geothermal.688,688,5
ReAtlas_us_geothermal.710,710,2
ReAtlas_us_geothermal.668,668,2
ReAtlas_us_geothermal.648,648,2
ReAtlas_us_geothermal.659,659,2
ReAtlas_us_geothermal.641,641,2
ReAtlas_us_geothermal.638,638,2
ReAtlas_us_geothermal.136,136,2
ReAtlas_us_geothermal.642,642,2
ReAtlas_us_geothermal.122,122,2
ReAtlas_us_geothermal.120,120,3
ReAtlas_us_geothermal.82,82,2
ReAtlas_us_geothermal.80,80,3
ReAtlas_us_geothermal.448,448,2
ReAtlas_us_geothermal.453,453,5
ReAtlas_us_geothermal.628,628,2
ReAtlas_us_geothermal.634,634,2
ReAtlas_us_geothermal.653,653,3
ReAtlas_us_geothermal.476,476,2
ReAtlas_us_geothermal.627,627,2
ReAtlas_us_geothermal.620,620,2
ReAtlas_us_geothermal.633,633,2
ReAtlas_us_geothermal.501,501,5
ReAtlas_us_geothermal.576,576,2
ReAtlas_us_geothermal.567,567,2
ReAtlas_us_geothermal.630,630,2
ReAtlas_us_geothermal.207,207,3
ReAtlas_us_geothermal.137,137,2
ReAtlas_us_geothermal.465,465,5
ReAtlas_us_geothermal.474,474,5
ReAtlas_us_geothermal.496,496,5
ReAtlas_us_geothermal.502,502,2
ReAtlas_us_geothermal.518,518,5
ReAtlas_us_geothermal.334,334,2
ReAtlas_us_geothermal.526,526,2
ReAtlas_us_geothermal.529,529,4
ReAtlas_us_geothermal.311,311,3
ReAtlas_us_geothermal.37,37,2
ReAtlas_us_geothermal.327,327,5
ReAtlas_us_geothermal.332,332,3
ReAtlas_us_geothermal.345,345,2
ReAtlas_us_geothermal.353,353,2
ReAtlas_us_geothermal.380,380,4
ReAtlas_us_geothermal.385,385,1
ReAtlas_us_geothermal.386,386,3
ReAtlas_us_geothermal.258,258,2
ReAtlas_us_geothermal.260,260,2
ReAtlas_us_geothermal.330,330,3
ReAtlas_us_geothermal.99,99,5
ReAtlas_us_geothermal.52,52,5
ReAtlas_us_geothermal.44,44,3
ReAtlas_us_geothermal.100,100,2
ReAtlas_us_geothermal.14,14,4
ReAtlas_us_geothermal.78,78,2
ReAtlas_us_geothermal.211,211,5
ReAtlas_us_geothermal.102,102,3
ReAtlas_us_geothermal.41,41,2
ReAtlas_us_geothermal.275,275,3
ReAtlas_us_geothermal.271,271,5
ReAtlas_us_geothermal.39,39,2
ReAtlas_us_geothermal.79,79,2
ReAtlas_us_geothermal.74,74,2
ReAtlas_us_geothermal.582,582,5
ReAtlas_us_geothermal.66,66,4
ReAtlas_us_geothermal.77,77,5
ReAtlas_us_geothermal.63,63,5
ReAtlas_us_geothermal.57,57,4
ReAtlas_us_geothermal.60,60,5
ReAtlas_us_geothermal.67,67,5
ReAtlas_us_geothermal.69,69,2
ReAtlas_us_geothermal.45,45,3
ReAtlas_us_geothermal.50,50,4
ReAtlas_us_geothermal.85,85,2
ReAtlas_us_geothermal.59,59,3
ReAtlas_us_geothermal.83,83,4
ReAtlas_us_geothermal.42,42,5
ReAtlas_us_geothermal.72,72,5
ReAtlas_us_geothermal.20,20,4
ReAtlas_us_geothermal.64,64,2
ReAtlas_us_geothermal.606,606,5
ReAtlas_us_geothermal.590,590,3
ReAtlas_us_geothermal.624,624,4
ReAtlas_us_geothermal.631,631,5
ReAtlas_us_geothermal.12,12,4
ReAtlas_us_geothermal.513,513,4
ReAtlas_us_geothermal.635,635,4
ReAtlas_us_geothermal.34,34,4
ReAtlas_us_geothermal.71,71,3
ReAtlas_us_geothermal.118,118,3
ReAtlas_us_geothermal.400,400,5
ReAtlas_us_geothermal.121,121,5
ReAtlas_us_geothermal.125,125,3
ReAtlas_us_geothermal.147,147,5
ReAtlas_us_geothermal.295,295,5
ReAtlas_us_geothermal.161,161,5
ReAtlas_us_geothermal.245,245,4
ReAtlas_us_geothermal.140,140,4
ReAtlas_us_geothermal.70,70,3
ReAtlas_us_geothermal.247,247,5
ReAtlas_us_geothermal.425,425,5
ReAtlas_us_geothermal.589,589,5
ReAtlas_us_geothermal.603,603,4
ReAtlas_us_geothermal.599,599,4
ReAtlas_us_geothermal.608,608,4
ReAtlas_us_geothermal.618,618,3
ReAtlas_us_geothermal.651,651,5
ReAtlas_us_geothermal.655,655,5
ReAtlas_us_geothermal.626,626,5
ReAtlas_us_geothermal.394,394,5
ReAtlas_us_geothermal.409,409,5
ReAtlas_us_geothermal.417,417,5
ReAtlas_us_geothermal.423,423,5
ReAtlas_us_geothermal.439,439,5
ReAtlas_us_geothermal.449,449,5
ReAtlas_us_geothermal.221,221,5
ReAtlas_us_geothermal.224,224,5
ReAtlas_us_geothermal.238,238,5
ReAtlas_us_geothermal.284,284,5
ReAtlas_us_geothermal.315,315,5
ReAtlas_us_geothermal.11,11,5
ReAtlas_us_geothermal.277,277,5
ReAtlas_us_geothermal.645,645,2
ReAtlas_us_geothermal.595,595,2
ReAtlas_us_geothermal.612,612,2
ReAtlas_us_geothermal.611,611,2
ReAtlas_us_geothermal.597,597,3
ReAtlas_us_geothermal.586,586,2
ReAtlas_us_geothermal.588,588,5
ReAtlas_us_geothermal.594,594,3
ReAtlas_us_geothermal.585,585,5
ReAtlas_us_geothermal.553,553,2
ReAtlas_us_geothermal.592,592,5
ReAtlas_us_geothermal.605,605,5
ReAtlas_us_geothermal.596,596,5
ReAtlas_us_geothermal.610,610,4
ReAtlas_us_geothermal.577,577,2
ReAtlas_us_geothermal.598,598,2
ReAtlas_us_geothermal.600,600,2
ReAtlas_us_geothermal.563,563,2
ReAtlas_us_geothermal.226,226,2
ReAtlas_us_geothermal.174,174,2
ReAtlas_us_geothermal.170,170,3
ReAtlas_us_geothermal.159,159,1
ReAtlas_us_geothermal.116,116,2
ReAtlas_us_geothermal.225,225,3
ReAtlas_us_geothermal.619,619,2
ReAtlas_us_geothermal.110,110,2
ReAtlas_us_geothermal.103,103,2
ReAtlas_us_geothermal.68,68,2
ReAtlas_us_geothermal.623,623,2
ReAtlas_us_geothermal.15,15,2
ReAtlas_us_geothermal.622,622,2
ReAtlas_us_geothermal.632,632,2
ReAtlas_us_geothermal.16,16,2
ReAtlas_us_geothermal.447,447,5
ReAtlas_us_geothermal.455,455,5
ReAtlas_us_geothermal.457,457,1
ReAtlas_us_geothermal.458,458,5
ReAtlas_us_geothermal.463,463,5
ReAtlas_us_geothermal.468,468,5
ReAtlas_us_geothermal.478,478,4
ReAtlas_us_geothermal.479,479,3
ReAtlas_us_geothermal.503,503,5
ReAtlas_us_geothermal.492,492,5
ReAtlas_us_geothermal.497,497,5
ReAtlas_us_geothermal.498,498,5
ReAtlas_us_geothermal.499,499,2
ReAtlas_us_geothermal.505,505,5
ReAtlas_us_geothermal.516,516,5
ReAtlas_us_geothermal.520,520,5
ReAtlas_us_geothermal.304,304,2
ReAtlas_us_geothermal.308,308,2
ReAtlas_us_geothermal.339,339,5
ReAtlas_us_geothermal.343,343,2
ReAtlas_us_geothermal.379,379,2
ReAtlas_us_geothermal.450,450,3
ReAtlas_us_geothermal.372,372,2
ReAtlas_us_geothermal.375,375,2
ReAtlas_us_geothermal.235,235,2
ReAtlas_us_geothermal.257,257,1
ReAtlas_us_geothermal.951,951,2
ReAtlas_us_geothermal.935,935,4
ReAtlas_us_geothermal.936,936,3
ReAtlas_us_geothermal.937,937,4
ReAtlas_us_geothermal.919,919,5
ReAtlas_us_geothermal.944,944,4
ReAtlas_us_geothermal.945,945,5
ReAtlas_us_geothermal.925,925,5
ReAtlas_us_geothermal.928,928,5
ReAtlas_us_geothermal.930,930,5
ReAtlas_us_geothermal.932,932,3
ReAtlas_us_geothermal.922,922,5
ReAtlas_us_geothermal.909,909,5
ReAtlas_us_geothermal.883,883,3
ReAtlas_us_geothermal.921,921,2
ReAtlas_us_geothermal.926,926,4
ReAtlas_us_geothermal.924,924,3
ReAtlas_us_geothermal.913,913,2
ReAtlas_us_geothermal.938,938,5
ReAtlas_us_geothermal.939,939,3
ReAtlas_us_geothermal.940,940,5
ReAtlas_us_geothermal.941,941,5
ReAtlas_us_geothermal.942,942,4
ReAtlas_us_geothermal.943,943,3
ReAtlas_us_geothermal.946,946,5
ReAtlas_us_geothermal.947,947,2
ReAtlas_us_geothermal.948,948,5
ReAtlas_us_geothermal.949,949,2
ReAtlas_us_geothermal.950,950,3
ReAtlas_us_geothermal.952,952,5
ReAtlas_us_geothermal.953,953,2
ReAtlas_us_geothermal.954,954,2
ReAtlas_us_geothermal.955,955,5
ReAtlas_us_geothermal.956,956,5
ReAtlas_us_geothermal.957,957,5
ReAtlas_us_geothermal.959,959,4
ReAtlas_us_geothermal.960,960,2
ReAtlas_us_geothermal.962,962,3
ReAtlas_us_geothermal.963,963,3
