FID,lat,lon,gid,reachid,pen_power_,pen_head_f
ReAtlas_smallhydro.4766,40.567313142587686,-123.4203476946312,4766,934497.000000,1091.276,1257.218
ReAtlas_smallhydro.4768,40.49163156073963,-123.78046427114452,4768,970393.000000,2158.557,92.946
ReAtlas_smallhydro.4771,40.53286593140641,-123.63330484721152,4771,931411.000000,3540.159,183.825
ReAtlas_smallhydro.4772,40.42079196114533,-124.15822479674472,4772,931952.000000,1604.595,308.136
ReAtlas_smallhydro.4774,40.61990351302947,-123.33824508990554,4774,934484.000000,2254.560,121.654
ReAtlas_smallhydro.4776,40.63488740338796,-123.32103950659322,4776,934494.000000,1965.725,112.664
ReAtlas_smallhydro.4777,40.62848748069887,-123.36252383302431,4777,934483.000000,2512.098,133.661
ReAtlas_smallhydro.4779,40.447100255189355,-124.23271354179445,4779,931945.000000,1051.418,129.757
ReAtlas_smallhydro.4780,40.63257917263811,-123.42084668051385,4780,934472.000000,4064.243,184.514
ReAtlas_smallhydro.4783,40.50733335713941,-124.00981533316818,4783,970362.000000,1403.849,44.685
ReAtlas_smallhydro.4795,40.70688243917915,-123.59528563850776,4795,934432.000000,1143.831,202.493
ReAtlas_smallhydro.4798,40.63110411567896,-123.99233794089258,4798,970296.000000,1727.309,403.609
ReAtlas_smallhydro.4809,40.724203838874516,-123.86919993667004,4809,931370.000000,3310.163,87.992
ReAtlas_smallhydro.4814,40.77408920844322,-123.73215124327282,4814,931366.000000,1198.596,476.772
ReAtlas_smallhydro.4818,40.75270162020162,-123.8743473795966,4818,931350.000000,2150.406,54.987
ReAtlas_smallhydro.4819,40.761686646162346,-123.85065415368439,4819,931359.000000,3980.119,1139.108
ReAtlas_smallhydro.4822,40.761099429004105,-123.88672352869574,4822,931342.000000,1778.484,41.470
ReAtlas_smallhydro.4823,40.73738949600396,-124.0062614796663,4823,931333.000000,1027.897,1205.085
ReAtlas_smallhydro.4826,40.83494956252035,-123.66151025416002,4826,962760.000000,1038.388,1239.239
ReAtlas_smallhydro.4829,40.79800045356071,-123.86457044701442,4829,931329.000000,1954.919,1187.697
ReAtlas_smallhydro.4831,40.805936149046474,-123.91122547768421,4831,931316.000000,3258.883,69.127
ReAtlas_smallhydro.4836,40.87683033888502,-123.69180851141402,4836,962706.000000,1213.423,596.227
