FID,gid,pen_power_,pen_head_f,pen_class
ReAtlas_smallhydro.4851,4851,1426.579,23.261,Small Hydro
ReAtlas_smallhydro.4854,4854,1134.748,1296.227,Small Hydro
ReAtlas_smallhydro.4855,4855,1671.478,809.416,Small Hydro
ReAtlas_smallhydro.4856,4856,1160.491,243.11,Small Hydro
ReAtlas_smallhydro.4857,4857,1298.917,700.033,Small Hydro
ReAtlas_smallhydro.4858,4858,2485.826,719.16,Small Hydro
ReAtlas_smallhydro.4859,4859,1205.708,339.272,Small Hydro
ReAtlas_smallhydro.4862,4862,3934.868,281.693,Small Hydro
ReAtlas_smallhydro.4863,4863,1999.186,350.656,Small Hydro
ReAtlas_smallhydro.4864,4864,1891.939,629.003,Small Hydro
ReAtlas_smallhydro.4865,4865,1122.974,36.778,Small Hydro
ReAtlas_smallhydro.4866,4866,6330.772,197.375,Small Hydro
ReAtlas_smallhydro.4867,4867,1267.306,1020.243,Small Hydro
ReAtlas_smallhydro.4868,4868,1356.059,1001.345,Small Hydro
ReAtlas_smallhydro.4869,4869,1295.318,112.861,Small Hydro
ReAtlas_smallhydro.4870,4870,2739.147,219.619,Small Hydro
ReAtlas_smallhydro.4871,4871,1207.666,1323.163,Small Hydro
ReAtlas_smallhydro.4872,4872,1409.566,106.923,Small Hydro
ReAtlas_smallhydro.4873,4873,1181.151,956.759,Small Hydro
ReAtlas_smallhydro.4874,4874,1427.443,97.539,Small Hydro
ReAtlas_smallhydro.4878,4878,1081.503,415.387,Small Hydro
ReAtlas_smallhydro.4879,4879,4923.655,215.551,Small Hydro
ReAtlas_smallhydro.4880,4880,3593.087,232.448,Small Hydro
ReAtlas_smallhydro.4881,4881,1102.722,447.999,Small Hydro
ReAtlas_smallhydro.4882,4882,2126.695,363.025,Small Hydro
ReAtlas_smallhydro.4883,4883,1406.431,666.568,Small Hydro
ReAtlas_smallhydro.4888,4888,2356.924,129.265,Small Hydro
ReAtlas_smallhydro.4889,4889,1145.767,1343.274,Small Hydro
ReAtlas_smallhydro.4894,4894,2118.502,121.161,Small Hydro
ReAtlas_smallhydro.4895,4895,2329.74,280.02,Small Hydro
ReAtlas_smallhydro.4897,4897,1460.397,256.496,Small Hydro
ReAtlas_smallhydro.4898,4898,1224.004,654.429,Small Hydro
ReAtlas_smallhydro.4900,4900,1914.715,630.315,Small Hydro
ReAtlas_smallhydro.2485,2485,1017.973,436.089,Small Hydro
ReAtlas_smallhydro.2491,2491,1439.419,86.975,Small Hydro
ReAtlas_smallhydro.2505,2505,1102.979,431.037,Small Hydro
ReAtlas_smallhydro.2508,2508,1018.478,452.231,Small Hydro
ReAtlas_smallhydro.2510,2510,1077.114,44.488,Small Hydro
ReAtlas_smallhydro.2518,2518,1480.616,14.764,Small Hydro
ReAtlas_smallhydro.2525,2525,1674.756,18.274,Small Hydro
ReAtlas_smallhydro.2528,2528,1581.849,20.046,Small Hydro
ReAtlas_smallhydro.2530,2530,2459.507,24.836,Small Hydro
ReAtlas_smallhydro.2533,2533,3455.439,35.105,Small Hydro
ReAtlas_smallhydro.2535,2535,1165.801,14.764,Small Hydro
ReAtlas_smallhydro.2538,2538,2322.858,23.622,Small Hydro
ReAtlas_smallhydro.2539,2539,3050.746,31.102,Small Hydro
ReAtlas_smallhydro.2542,2542,1783.905,22.572,Small Hydro
ReAtlas_smallhydro.2543,2543,1831.636,16.732,Small Hydro
ReAtlas_smallhydro.2548,2548,1140.172,10.367,Small Hydro
ReAtlas_smallhydro.2549,2549,2277.114,20.768,Small Hydro
ReAtlas_smallhydro.2551,2551,1549.899,19.652,Small Hydro
ReAtlas_smallhydro.2552,2552,1714.794,15.551,Small Hydro
ReAtlas_smallhydro.2555,2555,1237.431,126.542,Small Hydro
ReAtlas_smallhydro.2559,2559,1264.556,16.043,Small Hydro
ReAtlas_smallhydro.2561,2561,1613.059,20.472,Small Hydro
ReAtlas_smallhydro.2562,2562,1312.877,128.74,Small Hydro
ReAtlas_smallhydro.2565,2565,1482.156,18.865,Small Hydro
ReAtlas_smallhydro.2567,2567,2018.153,79.265,Small Hydro
ReAtlas_smallhydro.2569,2569,2054.755,73.786,Small Hydro
ReAtlas_smallhydro.2570,2570,4047.94,51.739,Small Hydro
ReAtlas_smallhydro.2571,2571,1006.547,357.776,Small Hydro
ReAtlas_smallhydro.2572,2572,2294.048,326.181,Small Hydro
ReAtlas_smallhydro.2575,2575,17030.896,302.657,Small Hydro
ReAtlas_smallhydro.2577,2577,1439.09,21.424,Small Hydro
ReAtlas_smallhydro.2579,2579,2535.951,142.356,Small Hydro
ReAtlas_smallhydro.2580,2580,1803.997,234.318,Small Hydro
ReAtlas_smallhydro.2581,2581,1025.029,52.592,Small Hydro
ReAtlas_smallhydro.2582,2582,1280.619,294.094,Small Hydro
ReAtlas_smallhydro.2583,2583,1266.391,213.714,Small Hydro
ReAtlas_smallhydro.2588,2588,1693.041,349.738,Small Hydro
ReAtlas_smallhydro.2590,2590,1050.967,345.997,Small Hydro
ReAtlas_smallhydro.2595,2595,1701.456,226.05,Small Hydro
ReAtlas_smallhydro.2601,2601,2550.036,272.441,Small Hydro
ReAtlas_smallhydro.2614,2614,2039.57,1481.726,Small Hydro
ReAtlas_smallhydro.2636,2636,1487.911,979.626,Small Hydro
ReAtlas_smallhydro.2653,2653,1084.713,221.686,Small Hydro
ReAtlas_smallhydro.2655,2655,1212.149,38.419,Small Hydro
ReAtlas_smallhydro.2657,2657,1764.667,598.622,Small Hydro
ReAtlas_smallhydro.2658,2658,1125.9,30.151,Small Hydro
ReAtlas_smallhydro.2664,2664,1036.582,57.776,Small Hydro
ReAtlas_smallhydro.2665,2665,2464.564,113.353,Small Hydro
ReAtlas_smallhydro.2666,2666,1032.986,25.394,Small Hydro
ReAtlas_smallhydro.2669,2669,1474.092,34.908,Small Hydro
