FID,lat,lon,gid,class
ReAtlas_us_geothermal.629,35.91666379151873,-112.95913092176002,629,2
ReAtlas_us_geothermal.542,38.70836208347369,-104.75057843135312,542,3
ReAtlas_us_geothermal.649,36.45837707286328,-104.45889814145974,649,2
ReAtlas_us_geothermal.652,36.20939864772948,-110.42135494012746,652,3
ReAtlas_us_geothermal.36,49.04175516844629,-101.54222299706873,36,2
ReAtlas_us_geothermal.657,35.20835814556783,-112.54241349274571,657,2
ReAtlas_us_geothermal.550,38.291667162139476,-108.20899168251651,550,2
ReAtlas_us_geothermal.613,37.125029122169884,-104.62556767866249,613,2
ReAtlas_us_geothermal.817,32.29175901059503,-110.12565033946154,817,2
ReAtlas_us_geothermal.268,44.29677240236394,-102.59840655330368,268,5
ReAtlas_us_geothermal.272,44.298472225734486,-102.60243222944382,272,4
ReAtlas_us_geothermal.890,30.041874143893544,-101.54207850163647,890,3
ReAtlas_us_geothermal.661,35.83336903068691,-106.87563111457126,661,2
ReAtlas_us_geothermal.662,35.75005504774738,-107.75069477192648,662,2
ReAtlas_us_geothermal.667,35.041701947476916,-112.4590825635621,667,2
ReAtlas_us_geothermal.663,36.0417750490152,-104.7924174913521,663,2
ReAtlas_us_geothermal.664,35.95838518180498,-104.70890183682516,664,2
ReAtlas_us_geothermal.666,35.95860647767546,-109.33571417546077,666,4
ReAtlas_us_geothermal.669,35.62503585674251,-107.29229674005444,669,2
ReAtlas_us_geothermal.670,36.12608772803081,-105.0862806133863,670,2
ReAtlas_us_geothermal.254,43.54161735679209,-107.87572004063682,254,2
ReAtlas_us_geothermal.270,43.375550558442654,-107.71026719788782,270,2
ReAtlas_us_geothermal.673,35.916882577624335,-105.95956761502441,673,2
ReAtlas_us_geothermal.676,35.833371487786,-106.20904679746735,676,2
ReAtlas_us_geothermal.677,34.87502064748116,-112.37574277615164,677,2
ReAtlas_us_geothermal.678,35.91687520112705,-106.62669367155934,678,1
ReAtlas_us_geothermal.684,35.20840267965609,-108.50065601024522,684,2
ReAtlas_us_geothermal.683,35.166861931944574,-111.4596882867879,683,5
ReAtlas_us_geothermal.685,34.70836979052387,-112.29240884019507,685,2
ReAtlas_us_geothermal.686,35.08405768977544,-113.00331049290861,686,1
ReAtlas_us_geothermal.687,35.125046175925384,-108.70899245661482,687,2
ReAtlas_us_geothermal.690,35.29171959170318,-106.45890593254879,690,2
ReAtlas_us_geothermal.693,35.083376530917704,-108.37566882689364,693,2
ReAtlas_us_geothermal.695,35.2083866729601,-106.62561611689742,695,2
ReAtlas_us_geothermal.823,31.958425144166334,-110.62564924889924,823,2
ReAtlas_us_geothermal.803,32.62508081680429,-110.45899129788233,803,2
ReAtlas_us_geothermal.692,35.291819394250965,-108.00104944199603,692,3
ReAtlas_us_geothermal.696,35.250158444331014,-107.0842839994555,696,1
ReAtlas_us_geothermal.741,34.12509591545505,-107.66729803178848,741,2
ReAtlas_us_geothermal.738,33.8752230880717,-111.54287891548557,738,2
ReAtlas_us_geothermal.700,35.12504695723748,-107.54238271943933,700,2
ReAtlas_us_geothermal.830,31.791759787044334,-110.29231131387525,830,2
ReAtlas_us_geothermal.703,34.416708888769655,-112.04242187671608,703,2
ReAtlas_us_geothermal.704,35.1264245294537,-111.2551980147064,704,5
ReAtlas_us_geothermal.730,34.50007740850812,-106.62562296364499,730,2
ReAtlas_us_geothermal.765,33.12506026642175,-112.87574635219812,765,2
ReAtlas_us_geothermal.706,34.87505561143432,-108.29235912212687,706,2
ReAtlas_us_geothermal.707,34.20842867176784,-112.6257970494903,707,2
ReAtlas_us_geothermal.711,34.166794712715,-113.00091114474691,711,2
